01-06, 02-06, 03-06, 04-06, 05-06, 06-06, 07-06, 08-06, 09-06, 10-06, 11-06, 12-06, 13-06, 14-06, 15-06, 16-06, 17-06, 18-06, 19-06, 20-06, 21-06, 22-06, 23-06, 24-06, 25-06, 26-06, 27-06, 28-06, 29-06, 30-06, 01-07, 02-07, 03-07, 04-07, 05-07, 06-07, 07-07, 08-07, 09-07, 10-07, 11-07, 12-07, 13-07, 14-07, 15-07, 16-07, 17-07, 18-07, 19-07, 20-07, 21-07, 22-07, 23-07, 24-07, 25-07, 26-07, 27-07, 28-07, 29-07, 30-07, 31-07, 01-08, 02-08, 03-08, 04-08, 05-08, 06-08, 07-08, 08-08, 09-08, 10-08, 11-08, 12-08, 13-08, 14-08, 15-08, 16-08, 17-08, 18-08, 19-08, 20-08, 21-08, 22-08, 23-08, 24-08, 25-08, 26-08, 27-08, 28-08, 29-08, 30-08, 31-08, 01-09, 02-09, 03-09, 04-09, 05-09, 06-09, 07-09, 08-09, 09-09, 10-09, 11-09, 12-09, 13-09, 14-09, 15-09, 16-09, 17-09, 18-09, 19-09, 20-09, 21-09, 22-09, 23-09, 24-09, 25-09, 26-09, 27-09, 28-09, 29-09, 30-09, 01-10, 02-10, 03-10, 04-10, 05-10, 06-10, 07-10, 08-10, 09-10, 10-10, 11-10, 12-10, 13-10, 14-10, 15-10, 16-10, 17-10, 18-10, 19-10, 20-10, 21-10, 22-10, 23-10, 24-10, 25-10, 26-10, 27-10, 28-10, 29-10, 30-10, 31-10, 01-11, 02-11, 03-11, 04-11, 05-11, 06-11, 07-11, 08-11, 09-11, 10-11, 11-11, 12-11, 13-11, 14-11, 15-11, 16-11, 17-11, 18-11, 19-11, 20-11, 21-11, 22-11, 23-11, 24-11, 25-11, 26-11, 27-11, 28-11, 29-11, 30-11, 01-12, 02-12, 03-12, 04-12, 05-12, 06-12, 07-12, 08-12, 09-12, 10-12, 11-12, 12-12, 13-12, 14-12, 15-12, 16-12, 17-12, 18-12, 19-12, 20-12, 21-12, 22-12, 23-12, 24-12, 25-12, 26-12, 27-12, 28-12, 29-12, 30-12, 31-12, 01-01, 02-01, 03-01, 04-01, 05-01, 06-01, 07-01, 08-01, 09-01, 10-01, 11-01, 12-01, 13-01, 14-01, 15-01, 16-01, 17-01, 18-01, 19-01, 20-01, 21-01, 22-01, 23-01, 24-01, 25-01, 26-01, 27-01, 28-01, 29-01, 30-01, 31-01, 01-02, 02-02, 03-02, 04-02, 05-02, 06-02, 07-02, 08-02, 09-02, 10-02, 11-02, 12-02, 13-02, 14-02, 15-02, 16-02, 17-02, 18-02, 19-02, 20-02, 21-02, 22-02, 23-02, 24-02, 25-02, 26-02, 27-02, 28-02
0.00,2.20,9.40,7.00,29.60,72.90,0.00,2.00,14.80,0.00,15.80,18.30,0.40,0.00,7.40,0.20,10.90,0.00,16.40,21.40,8.20,1.30,17.60,1.60,25.40,0.70,0.00,29.90,5.20,8.60,4.70,0.40,53.20,15.90,0.00,0.00,0.00,1.40,0.70,10.30,19.30,0.00,0.00,13.20,8.80,0.00,0.00,0.00,6.40,0.00,0.00,0.00,1.60,4.80,0.00,0.30,0.00,6.40,2.80,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,0.00,1.40,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,0.00,0.00,0.00,0.00,0.00,18.80,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.10,4.60,31.40,36.60,0.80,39.60,5.30,9.00,17.40,0.00,8.20,9.70,53.20,0.00,0.50,0.00,66.90,2.80,4.00,0.20,0.00,7.60,0.00,0.20,17.50,0.00,10.60,0.20,19.30,8.20,1.80,0.00,1.40,0.00,0.20,0.40,0.50,2.80,2.40,0.40,3.00,0.00,3.00,0.00,4.40,15.80,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00
41.80,22.40,2.90,0.10,16.50,20.60,19.60,2.50,0.00,0.00,0.00,27.50,19.20,19.90,7.70,0.00,10.20,10.20,0.00,0.00,0.00,0.00,10.30,0.00,0.20,0.00,5.40,0.00,0.00,0.00,0.70,22.10,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.20,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.30,0.50,0.00,0.00,9.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.10,0.00,2.50,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,5.40,24.20,0.40,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.80,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.10,0.00,0.10,0.00,0.60,47.40,34.20,43.00,51.10,45.20,12.70,0.00,0.00,20.60,65.20,18.00,0.00,16.00,9.70,9.70,65.00,3.00,2.00,15.50,5.80,9.20,10.30,42.80,33.60,29.60,1.80,5.20,6.20,0.00,25.00,0.00,0.40,3.20,144.40,0.00,0.00,24.40,20.20,1.00,7.80,15.30
0.50,0.00,0.00,0.20,3.10,2.60,0.00,0.00,1.20,16.60,26.60,3.00,17.60,0.40,0.00,11.80,21.80,1.00,0.00,2.00,0.00,1.00,4.60,30.00,0.00,0.00,0.00,0.00,0.00,4.00,2.40,9.90,10.60,2.00,17.00,0.00,0.00,5.10,0.00,1.20,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,9.00,0.00,0.00,0.00,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.60,10.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,13.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.80,0.70,0.20,1.70,0.00,0.00,0.00,0.00,0.20,4.10,0.00,0.00,0.00,0.00,6.00,0.00,1.40,0.00,37.60,16.80,0.00,57.60,2.40,11.00,6.00,0.20,22.60,118.00,60.60,31.80,0.60,14.60,7.20,26.30,17.90,2.80,2.20,21.10,7.50,18.40,45.40,31.00,31.40,22.60,55.20,0.00,1.40,14.90,0.00,12.60,15.80,38.40,7.20,1.60,5.10,0.00,0.00,15.40,7.40,1.90,0.00,82.80,42.40,3.10
19.50,2.60,0.00,2.00,6.00,0.00,9.80,0.00,36.60,0.00,0.00,0.00,0.20,1.40,10.20,2.60,0.00,16.70,28.20,1.90,29.60,31.90,8.60,0.00,0.00,0.00,0.00,4.20,1.10,0.00,9.40,1.60,0.20,9.60,1.30,0.00,0.00,38.80,10.80,6.00,0.00,18.40,10.40,0.00,11.60,0.00,6.40,27.50,1.40,11.60,22.60,43.40,0.00,0.40,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,1.90,22.90,43.60,0.00,0.00,1.60,0.00,0.00,9.00,1.60,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,5.70,0.30,6.60,0.60,0.00,0.00,0.00,0.00,0.00,4.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,3.20,5.20,0.30,0.00,0.00,0.00,0.00,0.60,0.30,58.00,41.40,1.80,10.80,19.40,6.70,35.00,0.40,0.60,16.80,0.00,25.60,3.70,0.00
4.00,3.10,50.30,27.80,0.20,5.00,58.30,0.60,9.50,3.00,2.00,0.30,15.80,10.40,1.70,0.00,6.90,1.20,0.00,6.60,0.10,0.00,0.00,18.40,6.70,23.00,1.60,0.00,0.00,0.00,0.00,5.20,25.10,0.00,48.60,12.00,0.00,32.00,27.40,3.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,6.80,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,5.50,0.00,2.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,0.00,0.20,0.00,15.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.40,0.00,0.00,0.00,0.00,1.20,15.00,56.20,14.10,0.00,0.00,6.00,5.90,0.00,0.00,0.00,0.00,21.60,0.00,52.20,19.00,0.00,4.40,0.00,0.00,0.00,0.00,0.00,66.80,0.80,5.40,6.70,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,29.40,0.50,22.10,0.00,0.00,0.00,1.80,44.20,44.00,20.40,0.20,0.00,9.90,70.20,0.00,13.20,0.00,0.00,4.60,0.00,0.00,8.00,9.00,0.00
31.80,0.00,0.00,0.00,0.00,12.20,0.00,21.10,2.80,0.00,0.00,108.20,1.40,28.40,0.70,0.00,6.40,2.00,2.20,0.00,0.00,0.00,17.00,9.40,0.00,12.60,0.40,4.80,0.10,0.40,0.00,5.10,2.00,22.60,0.00,0.00,9.40,0.00,0.00,0.40,0.60,3.60,3.00,0.00,0.00,0.00,0.00,15.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,7.50,45.80,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,6.80,0.60,0.80,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.30,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.30,24.00,13.30,0.00,0.00,0.10,0.00,0.00,0.00,0.60,4.60,0.60,0.00,3.80,0.00,0.00,0.20,0.60,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,4.00,9.00,18.40,78.20,123.90,2.40,1.00,2.20,53.40,24.90,4.80,8.00,0.00,0.60,12.60,31.00,8.20,14.80,7.50,93.40,36.00,0.20,1.00,11.60,1.00,0.00,0.80,0.00,0.20
5.80,15.90,0.00,0.00,4.00,0.00,17.60,0.00,0.00,1.70,0.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,13.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.80,8.00,0.40,1.00,0.00,1.00,0.00,0.00,13.40,4.20,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,24.10,56.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,18.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,17.00,0.00,6.80,0.00,9.40,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,27.00,0.00,8.40,13.40,0.00,2.00,8.40,20.20,5.80,1.60,0.00,6.40,1.00,2.80,0.40,4.80,61.20,26.10,0.00,0.00,5.60,13.00,0.00,0.00,0.00,0.00,2.60,23.00,0.00,0.00,30.00,21.30,5.40,64.00,1.00,0.00,35.80,31.60,0.00,13.00,0.00,7.20,0.00,7.40
12.60,27.00,2.50,4.70,133.00,22.80,12.20,0.00,2.20,9.60,31.60,2.40,15.40,2.40,0.10,12.30,34.80,6.40,6.80,0.00,0.00,0.00,0.00,0.00,33.20,0.00,5.80,0.20,1.80,0.20,0.00,17.80,0.00,0.00,0.00,0.00,6.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.40,14.20,7.10,54.00,1.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.10,2.70,0.00,1.40,0.00,0.40,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.60,0.00,7.40,1.00,0.00,0.00,0.10,0.00,11.80,0.00,0.00,0.00,0.00,21.60,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,10.00,6.60,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.20,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.30,5.00,11.30,0.10,1.00,14.60,10.90,0.00,12.40,26.80,0.00,51.80,23.30,39.40,98.60,10.80,1.00,3.70,0.00,0.00,0.20,23.60,3.60,9.00,21.00,25.80,5.20,0.00,0.00,0.00,0.00,0.00,43.20,2.30,3.90,0.50,9.60,14.00,21.00,1.20,77.40,7.60,0.80,8.90,4.00,8.40,0.50,31.80,15.50,52.00
8.60,39.60,1.40,17.60,1.20,0.00,17.20,21.70,0.00,3.60,0.00,7.60,0.00,0.00,19.70,3.60,0.00,2.00,4.40,0.30,0.00,10.00,0.00,2.80,21.90,16.00,8.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,18.00,2.40,0.00,0.00,9.80,7.30,0.00,0.00,0.50,0.50,9.60,0.40,3.60,0.00,7.80,0.00,1.20,1.10,0.00,0.00,0.00,1.40,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.20,0.00,0.00,0.00,6.40,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,3.00,0.00,0.00,5.10,2.00,17.80,0.00,18.60,4.80,0.00,0.00,0.00,0.60,0.00,6.00,0.00,0.00,0.00,1.20,1.50,0.00,0.00,0.00,0.20,0.00,2.40,0.00,0.00,12.00,0.20,10.70,5.00,2.40,18.60,6.20,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,4.40,11.20,71.30,9.00,1.60,0.20,8.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,3.80,0.20,0.00
13.20,0.00,0.00,10.00,23.40,0.00,0.00,36.70,0.00,0.00,0.00,11.20,8.20,9.90,14.80,0.00,0.00,58.80,0.00,0.00,0.00,8.40,18.30,4.20,1.20,0.00,0.00,0.00,0.00,0.00,9.60,3.00,1.00,13.60,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.30,0.00,5.70,1.00,0.00,0.40,0.40,27.20,0.00,1.00,0.00,0.00,1.40,22.00,0.00,0.00,0.00,12.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,7.50,0.00,0.00,0.00,7.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.30,0.00,12.80,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,1.00,0.40,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,187.80,0.00,30.40,12.20,0.00,0.00,0.00,0.00,0.00,23.90,2.70,2.80,8.20,4.40,36.80,8.40,0.00,143.50,4.40,0.00,3.30,7.10,8.60,5.60,0.00,11.10,3.50,1.00,1.60,1.00,0.00,0.00,0.00,3.60,7.70,1.10,67.20,1.20,26.00,131.60,17.40,0.20,97.00,6.60,16.00,0.00,0.00,0.00,35.20,0.20,0.20,28.00
