01-06, 02-06, 03-06, 04-06, 05-06, 06-06, 07-06, 08-06, 09-06, 10-06, 11-06, 12-06, 13-06, 14-06, 15-06, 16-06, 17-06, 18-06, 19-06, 20-06, 21-06, 22-06, 23-06, 24-06, 25-06, 26-06, 27-06, 28-06, 29-06, 30-06, 01-07, 02-07, 03-07, 04-07, 05-07, 06-07, 07-07, 08-07, 09-07, 10-07, 11-07, 12-07, 13-07, 14-07, 15-07, 16-07, 17-07, 18-07, 19-07, 20-07, 21-07, 22-07, 23-07, 24-07, 25-07, 26-07, 27-07, 28-07, 29-07, 30-07, 31-07, 01-08, 02-08, 03-08, 04-08, 05-08, 06-08, 07-08, 08-08, 09-08, 10-08, 11-08, 12-08, 13-08, 14-08, 15-08, 16-08, 17-08, 18-08, 19-08, 20-08, 21-08, 22-08, 23-08, 24-08, 25-08, 26-08, 27-08, 28-08, 29-08, 30-08, 31-08, 01-09, 02-09, 03-09, 04-09, 05-09, 06-09, 07-09, 08-09, 09-09, 10-09, 11-09, 12-09, 13-09, 14-09, 15-09, 16-09, 17-09, 18-09, 19-09, 20-09, 21-09, 22-09, 23-09, 24-09, 25-09, 26-09, 27-09, 28-09, 29-09, 30-09, 01-10, 02-10, 03-10, 04-10, 05-10, 06-10, 07-10, 08-10, 09-10, 10-10, 11-10, 12-10, 13-10, 14-10, 15-10, 16-10, 17-10, 18-10, 19-10, 20-10, 21-10, 22-10, 23-10, 24-10, 25-10, 26-10, 27-10, 28-10, 29-10, 30-10, 31-10, 01-11, 02-11, 03-11, 04-11, 05-11, 06-11, 07-11, 08-11, 09-11, 10-11, 11-11, 12-11, 13-11, 14-11, 15-11, 16-11, 17-11, 18-11, 19-11, 20-11, 21-11, 22-11, 23-11, 24-11, 25-11, 26-11, 27-11, 28-11, 29-11, 30-11, 01-12, 02-12, 03-12, 04-12, 05-12, 06-12, 07-12, 08-12, 09-12, 10-12, 11-12, 12-12, 13-12, 14-12, 15-12, 16-12, 17-12, 18-12, 19-12, 20-12, 21-12, 22-12, 23-12, 24-12, 25-12, 26-12, 27-12, 28-12, 29-12, 30-12, 31-12, 01-01, 02-01, 03-01, 04-01, 05-01, 06-01, 07-01, 08-01, 09-01, 10-01, 11-01, 12-01, 13-01, 14-01, 15-01, 16-01, 17-01, 18-01, 19-01, 20-01, 21-01, 22-01, 23-01, 24-01, 25-01, 26-01, 27-01, 28-01, 29-01, 30-01, 31-01, 01-02, 02-02, 03-02, 04-02, 05-02, 06-02, 07-02, 08-02, 09-02, 10-02, 11-02, 12-02, 13-02, 14-02, 15-02, 16-02, 17-02, 18-02, 19-02, 20-02, 21-02, 22-02, 23-02, 24-02, 25-02, 26-02, 27-02, 28-02
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,13.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,12.00,2.00,0.00,0.00,0.00,0.00,0.40,2.40,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.80,0.60,0.00,0.00,0.00,8.90,0.30,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.80,6.80,0.00,0.00,0.00,0.00,12.40,1.80,4.80,10.20,0.00,0.00,0.00,0.30,0.50,0.00,0.00,0.00,0.00,0.00,0.60,1.40,3.30,3.70,33.20,0.00,0.00,0.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,10.40,0.00,0.00,0.00,0.00,0.00,0.00,3.50,6.80,0.40,0.00,0.00,0.00,1.00,47.30,39.80,0.50,0.00,0.00,0.00,4.50,3.60,2.90,0.00,0.00,0.00,0.00,27.90,0.00,0.00,0.00,0.20,2.40,0.00,0.00,13.90,0.00,0.00,0.00,0.00,0.00,61.80,0.00,0.00,0.00,0.00,0.00,59.10,23.10,4.20,20.60,14.70,0.00,19.00,0.00,1.50,8.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,15.50,0.00,0.00,0.00,10.50,2.10,1.90,8.70,1.90,0.20,0.00,2.70,0.00,0.00,11.10,27.00,0.00,0.00,62.30,11.00,19.90,3.40,33.50,3.90,3.80,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.90,3.90,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.30,1.20,0.20,0.00,0.00,0.00,17.80,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,7.40,2.40,23.00,13.90,0.00,0.00,1.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.20,1.70,0.00,6.10,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.30,1.80,0.00,0.00,0.00,0.00,0.00,0.00,10.80,21.70,13.80,0.20,2.40,57.20,13.60,11.30,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50,3.80,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,58.20,45.00,0.30,0.40,0.00,7.10,11.30,0.00,0.00,0.00,0.00,0.00,3.90,1.10,0.00,0.00,0.00,0.00,21.60,4.10,0.00,0.00,0.00,0.00,11.90,16.70,0.00,40.40,6.20,6.80,5.50,0.00,0.00,2.70,0.00,0.80,0.50,0.00,0.20,0.00,0.00,3.10,0.00,0.00,0.00,3.20,4.10,0.00,0.00,0.00,11.20,0.00,7.70,20.20,22.20,0.10,0.00,0.00,0.00,2.10,2.60,28.60,8.60,0.00,2.90,0.00,0.00,0.30,6.00,21.00,0.00,0.00,12.90,0.00,1.20,17.00,9.30,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,40.50,2.30,1.00,3.00,8.30,2.40,0.00,0.00,4.20,4.00,3.70,0.00,0.00,1.70,0.70,0.20,17.70,23.10,6.00,8.50,9.60,4.30
5.50,0.00,0.50,15.70,0.30,1.50,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,15.30,0.00,0.00,0.00,5.40,27.90,2.10,0.00,0.00,0.00,0.00,0.00,31.80,5.40,30.40,15.00,4.00,21.60,6.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.50,5.10,0.00,0.00,0.00,1.40,0.20,2.70,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,1.70,2.50,15.30,13.10,0.20,2.30,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.90,2.30,0.00,0.00,0.00,12.60,11.00,0.40,0.00,0.00,5.80,1.10,0.00,0.30,0.00,0.00,0.00,0.00,27.80,0.00,0.00,0.00,7.00,38.80,7.20,0.30,0.00,0.00,0.00,0.00,0.60,0.00,6.80,12.80,1.00,3.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,3.80,0.00,58.40,0.00,0.00,0.00,0.30,1.60,0.20,0.00,0.00,7.30,0.00,29.30,2.50,37.30,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,12.10,4.10,24.50,18.20,2.50,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,2.70,0.00,2.20,0.00,0.00,22.70,23.30,0.40,0.00,0.00,0.00,0.00,0.00,24.90,0.00,3.70,0.00,27.50,0.00,1.00,44.40,15.00,3.50,2.60,1.50,3.80,5.20,1.10,1.20,106.00,10.00,4.60,0.60,0.00,0.00,0.00,0.00,36.70,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.30,2.00,0.00,0.00,0.00,0.00,0.00,1.70
0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.60,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,21.20,20.60,2.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,18.80,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,0.50,0.00,0.00,0.00,0.00,1.90,0.00,0.00,0.00,0.00,18.60,7.10,0.00,0.00,0.00,0.00,1.80,28.80,0.50,0.00,3.20,4.30,4.30,0.00,0.00,0.80,0.00,15.00,0.00,11.80,9.30,22.20,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,5.00,0.00,0.00,0.30,45.30,0.00,0.00,0.00,0.00,58.50,13.70,2.50,7.80,1.40,25.00,0.20,0.60,0.00,0.00,5.70,7.00,0.00,5.20,0.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,13.10,6.60,0.00,0.00,0.00,0.00,77.40,0.00,0.00,0.00,0.00,0.30,0.20,33.50,0.00,0.00,0.00,8.50,0.90,0.70,0.00,46.70,16.30,8.90,1.00,0.60,0.00,0.00,0.00,8.60,0.00,8.00,0.00,0.00,0.00,17.60,31.30,0.00,0.00,0.00,0.00,0.00,0.10,17.10,8.20,0.10,46.70,5.50,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.90,4.50,0.60,103.00,0.30,32.00,0.00,23.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,62.10,7.30,12.30,0.10,2.00,0.20,0.40,4.00,0.00,0.00,0.00,4.20,0.00,1.80,1.30,7.40,2.00,1.30
0.30,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.90,13.30,0.00,0.00,0.00,13.90,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,1.20,1.80,0.00,0.00,0.00,0.70,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.10,13.60,4.00,0.50,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,10.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.10,4.90,0.00,0.00,5.20,2.70,9.00,6.00,0.00,15.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,15.90,0.00,5.90,0.00,0.00,2.00,11.70,1.90,0.40,0.00,0.00,9.00,2.50,0.00,4.30,0.00,0.00,0.00,52.40,8.30,3.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,3.30,3.50,16.00,8.70,0.00,0.40,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.50,27.30,2.60,0.00,0.00,0.00,3.90,0.00,5.00,14.00,0.60,0.50,12.80,23.90,0.00,0.00,0.00,1.50,4.20,0.70,0.60,0.00,0.00,0.00,0.00,14.40,0.60,12.00,40.50,28.00,0.20,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.70,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.80,3.40,0.50,2.90,3.90,2.40,0.20,0.00,0.00,14.20,3.00,0.00,0.00,0.00,0.30,1.10,3.90,0.00,6.40,0.00,0.00,27.90,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,58.60,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,12.50,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,8.40,0.00,0.00,10.80,6.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.20,0.00,0.00,0.00,14.60,0.00,0.00,0.00,0.00,0.00,0.00,3.10,5.50,0.00,0.00,0.00,10.20,1.70,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,9.50,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,1.30,0.30,10.40,0.00,0.00,2.10,40.00,112.80,6.80,20.00,0.00,0.00,0.00,0.00,0.00,3.00,0.30,20.00,23.50,6.60,1.10,0.80,0.00,0.80,0.10,11.60,38.70,0.00,0.00,11.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,2.20,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,15.40,6.70,2.60,0.00,0.00,0.00,46.60,66.90,9.70,0.00,0.00,0.00,0.00,17.30,0.80,0.00,2.20,9.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.20,3.80,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,0.00,1.50,0.00,4.70,42.50,9.90,8.00,1.60,0.00,0.00,2.60,0.20,1.30,27.40,0.30,3.70,14.00,19.30,23.80,21.60,4.70,4.60,6.80,0.30,0.00,0.80,0.00,0.00,0.00,0.50,0.00,0.00,0.00,5.30,1.70,5.70,3.20,0.00,0.30,3.80,0.70,10.90,0.00
3.90,8.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.10,0.80,0.00,0.00,0.00,0.00,0.00,1.40,5.90,4.10,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,0.00,0.80,0.00,0.80,0.00,26.30,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2.30,0.00,0.00,0.00,0.00,0.00,0.20,10.80,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,8.80,2.00,5.30,11.20,1.30,0.00,0.00,4.10,0.00,0.00,2.60,0.00,23.00,5.00,20.70,0.00,0.00,13.80,0.00,0.00,3.10,1.70,1.20,12.30,13.40,0.70,0.00,0.00,0.00,0.00,0.00,0.00,4.80,0.00,5.30,6.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,0.00,1.40,0.00,5.60,1.20,6.50,2.10,6.40,0.30,0.00,0.00,0.20,0.00,0.00,48.70,0.30,0.00,0.00,48.00,9.00,4.00,0.00,0.50,6.50,8.80,32.00,0.30,0.40,0.70,11.50,3.30,0.00,0.00,13.50,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,11.40,0.00,16.60,5.10,6.60,3.00,2.80,12.30,0.00,0.00,1.20,0.00,0.00,35.60,9.20,2.50,0.00,0.20,0.00,0.20,0.00,30.60,0.70,9.00,14.60,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,3.80,4.50,1.20,13.00,87.40,9.70,9.40,0.00,0.00,1.50,7.50,2.30,3.40,6.20,7.00,0.00,0.00,0.00,9.20,2.00,0.00,0.00,5.10,0.00,0.00,0.00,44.70,7.50,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,2.00,27.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,21.30,0.00,0.00,0.00,1.20,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.60,0.00,0.00,4.80,0.60,0.00,0.00,0.00,3.00,5.20,0.00,0.00,0.00,16.90,0.00,4.20,2.50,8.80,0.00,2.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,2.10,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,4.80,2.80,1.00,0.20,2.50,8.80,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,0.00,5.20,0.00,24.80,0.00,0.00,0.00,5.00,0.20,0.00,0.00,0.00,0.00,3.40,32.10,0.00,1.60,1.40,0.00,0.00,0.00,0.00,2.60,3.00,0.00,0.00,0.00,0.00,0.00,0.00,8.80,33.40,42.20,3.40,0.00,0.30,0.40,0.00,6.40,2.50,7.30,0.10,39.10,0.00,0.00,1.90,0.00,0.00,0.00,6.10,15.70,3.10,3.00,0.00,0.70,9.50,0.00,0.00,7.10,0.00,0.00,0.00,3.10,4.50,8.60,13.50,13.50,0.00,0.00,43.40,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,13.80,0.00,0.00,0.00,3.50,0.00,0.00,0.00,8.80,42.70,7.00,0.00,9.00,15.10,31.10,9.60,0.00,0.00,3.60,0.00,0.00,0.00,14.80,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.80,11.10,25.50,93.60,11.30,0.00,0.00,0.00,0.00,17.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,75.40,0.00,0.00,0.00,0.30,0.00,6.80,44.40,1.40,19.90,11.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,3.00,0.00,0.00,0.00,0.00,0.00,0.90,49.20,0.00,0.00
9.80,14.30,0.00,0.00,2.10,0.50,0.00,0.00,0.00,0.00,0.10,11.70,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,15.40,13.50,2.60,37.20,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,14.60,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,0.50,6.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,2.20,0.00,14.60,4.80,0.50,0.00,0.00,2.10,3.00,2.60,0.80,0.00,0.00,1.00,0.00,1.00,0.00,0.70,0.00,0.00,0.00,0.00,0.00,8.40,10.00,0.00,0.00,0.00,0.00,5.20,0.00,19.00,63.20,0.00,0.00,0.00,1.50,0.00,6.50,0.00,0.00,0.00,0.30,22.30,0.00,0.00,0.00,4.10,0.30,1.30,0.00,0.70,0.00,3.80,3.60,0.00,0.00,8.80,0.00,0.00,2.80,5.40,5.40,2.00,0.00,0.00,0.00,0.00,0.00,12.00,0.20,0.00,111.00,0.30,2.30,0.00,3.30,0.00,0.00,0.00,2.90,23.90,19.20,0.00,0.00,0.00,0.00,0.00,0.00,49.40,6.00,2.30,0.00,0.00,35.50,5.90,10.70,6.70,1.50,0.60,7.20,12.20,1.70,0.00,3.00,0.00,0.00,0.00,18.20,28.80,1.30,1.00,0.60,0.00,0.20,2.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,2.10,0.50,0.00,7.80,0.00,6.90,0.00,0.00,0.00,0.00,8.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.30,0.30,0.40,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,1.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.40,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,2.60,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.30,26.30,7.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,11.40,4.50,0.00,6.80,3.10,9.70,12.30,27.00,2.20,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,12.00,2.40,9.10,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.70,3.20,10.10,3.60,0.00,0.00,0.00,0.00,0.00,27.00,4.30,0.00,0.00,2.10,5.50,2.40,0.00,0.00,2.10,0.30,0.00,0.00,0.00,0.00,0.10,1.70,8.00,2.30,0.00,0.00,0.00,3.20,5.90,11.10,6.20,21.30,1.40,0.00,0.00,0.00,0.00,0.00,21.80,16.30,8.90,5.50,0.00,0.00,7.80,44.20,30.60,0.00,0.00,0.00,46.20,0.00,2.20,0.10,0.80,0.30,0.00,0.00,0.60,8.30,0.10,0.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,6.30,34.40,4.50,10.50,0.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.60,5.00,4.60,0.00,13.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.60,0.00,0.00,0.00,0.00,0.00
