01-06, 02-06, 03-06, 04-06, 05-06, 06-06, 07-06, 08-06, 09-06, 10-06, 11-06, 12-06, 13-06, 14-06, 15-06, 16-06, 17-06, 18-06, 19-06, 20-06, 21-06, 22-06, 23-06, 24-06, 25-06, 26-06, 27-06, 28-06, 29-06, 30-06, 01-07, 02-07, 03-07, 04-07, 05-07, 06-07, 07-07, 08-07, 09-07, 10-07, 11-07, 12-07, 13-07, 14-07, 15-07, 16-07, 17-07, 18-07, 19-07, 20-07, 21-07, 22-07, 23-07, 24-07, 25-07, 26-07, 27-07, 28-07, 29-07, 30-07, 31-07, 01-08, 02-08, 03-08, 04-08, 05-08, 06-08, 07-08, 08-08, 09-08, 10-08, 11-08, 12-08, 13-08, 14-08, 15-08, 16-08, 17-08, 18-08, 19-08, 20-08, 21-08, 22-08, 23-08, 24-08, 25-08, 26-08, 27-08, 28-08, 29-08, 30-08, 31-08, 01-09, 02-09, 03-09, 04-09, 05-09, 06-09, 07-09, 08-09, 09-09, 10-09, 11-09, 12-09, 13-09, 14-09, 15-09, 16-09, 17-09, 18-09, 19-09, 20-09, 21-09, 22-09, 23-09, 24-09, 25-09, 26-09, 27-09, 28-09, 29-09, 30-09, 01-10, 02-10, 03-10, 04-10, 05-10, 06-10, 07-10, 08-10, 09-10, 10-10, 11-10, 12-10, 13-10, 14-10, 15-10, 16-10, 17-10, 18-10, 19-10, 20-10, 21-10, 22-10, 23-10, 24-10, 25-10, 26-10, 27-10, 28-10, 29-10, 30-10, 31-10, 01-11, 02-11, 03-11, 04-11, 05-11, 06-11, 07-11, 08-11, 09-11, 10-11, 11-11, 12-11, 13-11, 14-11, 15-11, 16-11, 17-11, 18-11, 19-11, 20-11, 21-11, 22-11, 23-11, 24-11, 25-11, 26-11, 27-11, 28-11, 29-11, 30-11, 01-12, 02-12, 03-12, 04-12, 05-12, 06-12, 07-12, 08-12, 09-12, 10-12, 11-12, 12-12, 13-12, 14-12, 15-12, 16-12, 17-12, 18-12, 19-12, 20-12, 21-12, 22-12, 23-12, 24-12, 25-12, 26-12, 27-12, 28-12, 29-12, 30-12, 31-12, 01-01, 02-01, 03-01, 04-01, 05-01, 06-01, 07-01, 08-01, 09-01, 10-01, 11-01, 12-01, 13-01, 14-01, 15-01, 16-01, 17-01, 18-01, 19-01, 20-01, 21-01, 22-01, 23-01, 24-01, 25-01, 26-01, 27-01, 28-01, 29-01, 30-01, 31-01, 01-02, 02-02, 03-02, 04-02, 05-02, 06-02, 07-02, 08-02, 09-02, 10-02, 11-02, 12-02, 13-02, 14-02, 15-02, 16-02, 17-02, 18-02, 19-02, 20-02, 21-02, 22-02, 23-02, 24-02, 25-02, 26-02, 27-02, 28-02
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.20,13.10,0.00,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.20,22.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,4.00,0.00,0.00,0.00,0.00,0.00,2.10,23.30,0.00,0.00,0.00,0.00,25.60,9.60,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.60,37.10,3.10,9.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,1.00,15.60,9.40,9.30,8.90,0.90,0.00,0.00,5.90,0.30,0.00,11.40,19.10,28.70,5.90,4.90,23.40,63.70,0.00,6.70,12.00,0.00,32.20,9.00,1.90,3.80,0.00,0.00,50.50,5.40,48.20,25.90,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.20,20.60,63.40,39.80,1.40,46.30,0.00,1.40,0.00,7.30,14.40,8.00,3.80,25.10,30.40,59.30,18.50,28.00,7.00,6.70,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,33.10,29.30,19.40,0.00,4.10,48.90,0.00,0.00,0.00,0.00,0.00,50.20,49.60,0.00,0.30,0.00,2.70,5.80,17.40,7.20,3.50,0.00,0.00,0.00,13.90,11.40,66.20,9.60,10.30,0.00,0.00,0.00,5.90,23.20,26.20,31.20,7.50,4.20,15.80,2.40,19.60,25.40,2.30,0.00,0.00,0.50
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,17.00,27.90,6.80,0.80,0.00,0.00,0.00,0.00,0.10,0.20,0.13,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.80,0.00,0.00,2.40,15.10,9.40,13.70,11.00,0.00,14.80,27.60,7.20,0.00,0.00,0.00,0.00,44.20,0.00,0.00,0.00,37.40,0.00,32.20,29.60,0.00,1.60,0.80,0.00,0.20,4.90,5.90,0.80,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.70,30.00,5.70,3.40,10.20,62.30,75.90,28.00,20.80,13.80,26.80,4.20,0.00,0.00,0.00,37.20,0.00,14.50,4.70,10.80,20.60,0.00,0.60,1.40,12.70,46.60,12.00,19.20,25.10,36.50,22.60,73.10,56.20,1.00,29.40,8.60,21.80,16.20,8.30,31.20,83.40,81.90,27.60,16.00,4.60,72.90,24.80,1.70,0.00,0.00,0.00,0.00,0.00,7.40,53.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.90,0.00,44.40,24.80,9.60,0.00,0.00,0.00,0.00,0.00,0.00,28.20,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,1.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.40,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,2.60,0.50,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.60,0.00,0.00,0.00,0.00,0.00,0.00,5.20,36.60,0.00,8.70,0.00,0.00,0.00,6.20,31.60,0.00,11.40,0.00,0.00,0.00,14.60,0.00,0.00,0.40,29.60,0.00,38.60,2.40,0.00,0.00,0.00,0.00,0.00,3.20,2.70,0.00,26.10,11.80,9.20,5.40,57.20,2.30,28.00,46.90,23.10,0.00,0.80,14.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.00,12.00,0.50,0.00,0.50,1.80,0.00,0.40,2.40,1.80,7.20,19.60,68.60,4.80,15.00,10.00,0.00,2.60,50.40,81.00,36.00,3.20,33.40,29.80,75.20,12.00,28.90,0.00,0.00,0.00,0.00,0.00,23.20,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.20,3.40,0.00,0.00,0.00,0.00,30.30,18.20,5.20,58.00,13.40,0.00,4.50,18.90,21.00,14.60,0.10,14.60,1.80,5.70,12.50,0.00,81.40,0.00,1.20,3.80,36.20
0.00,0.00,1.30,1.40,5.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,25.40,3.80,0.00,0.00,0.00,0.00,0.00,0.00,5.60,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.50,0.00,0.00,0.00,0.00,0.00,30.70,0.00,0.00,0.00,0.00,13.40,0.00,0.00,0.00,0.00,0.00,4.70,0.00,0.00,0.20,1.60,23.30,4.40,7.10,0.00,2.30,9.80,0.00,0.00,0.00,0.00,0.00,33.50,26.20,7.00,0.00,0.00,0.00,0.00,3.70,41.00,18.60,2.60,25.20,22.80,8.30,21.60,0.00,47.00,0.00,0.00,0.00,11.50,1.40,58.20,78.00,23.60,14.90,39.50,0.00,4.70,0.00,58.00,12.00,0.20,0.00,1.40,0.00,0.00,35.60,2.60,0.00,9.70,20.70,0.00,0.20,9.80,17.20,0.00,0.00,0.90,22.80,12.00,20.80,5.60,14.60,0.60,1.40,0.00,10.30,0.90,46.60,4.00,0.00,0.40,2.90,0.00,3.60,8.40,0.50,0.00,10.20,0.00,0.00,0.00,0.50,0.00,0.20,0.00,0.50,0.00,0.00,0.00,48.60,36.20,5.80,0.00,0.00,0.00,0.00,0.00,40.80,2.40,0.60
0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.60,0.00,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.50,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,0.00,0.00,0.00,1.20,25.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.50,3.80,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.40,0.20,3.80,7.60,0.40,6.60,11.70,1.50,23.80,14.70,0.20,0.20,5.20,1.80,0.60,13.20,0.00,1.60,0.00,0.00,0.00,6.40,28.50,21.80,63.50,5.60,0.00,0.00,15.00,3.20,32.30,33.20,0.20,0.00,1.90,0.20,17.80,12.30,0.00,0.00,0.00,84.40,0.40,9.40,15.20,31.70,49.30,11.20,42.50,46.80,2.80,0.20,0.00,9.00,4.20,0.00,10.20,0.00,0.00,0.00,44.00,1.00,0.40,0.00,0.00,0.00,0.00,0.00,2.00,0.00,37.40,10.20,0.00,9.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.40,37.50,17.50,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,7.80,16.50,37.80,38.00,0.20,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,1.30,6.50,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.40,0.00,0.00,0.00,0.00,5.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.60,0.00,0.00,0.00,0.00,2.40,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.20,0.00,39.00,0.40,17.20,0.50,2.00,21.90,0.00,0.00,0.00,0.00,0.20,0.00,4.00,0.00,0.00,0.00,0.20,8.80,0.00,3.50,0.00,0.00,1.80,0.80,32.40,0.00,0.00,16.20,8.60,40.30,0.00,0.00,5.20,0.40,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,16.20,9.20,17.30,3.00,0.00,0.00,16.60,0.00,4.20,10.00,3.40,0.00,2.60,4.40,0.40,0.00,0.00,5.80,15.60,0.40,0.00,0.00,8.00,0.00,0.00,17.20,23.60,29.40,156.30,74.10,1.50,0.00,0.00,0.00,17.00,11.20,28.30,8.80,17.40,0.20,7.20,4.10,21.90,1.60,37.90,7.60,1.00,0.00,18.10,5.70,1.00,0.20,0.00,0.00,39.00,14.70,13.50,0.00,0.40,6.40,1.80,0.00,32.40,10.60,25.00,28.50,0.00,0.00,0.00,20.00,5.20,2.20,0.80,33.00,9.20,7.80,6.80,0.00,3.10,0.00,0.00,12.40,0.40,20.50,0.40,4.80,32.30,37.20,3.20,36.10,17.20,1.60,0.00,31.80,12.40,15.00,24.00,4.70,0.50,0.00,0.00,0.00,34.10,14.80,2.20,0.00,20.20,0.00,0.20,3.60,0.00,0.00,0.00,0.00,0.00,0.40,0.00,5.80,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.60,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.60,11.80,0.00,0.00,13.00,0.40,0.00,6.80,7.00,0.00,13.40,0.00,0.00,14.80,0.00,0.00,0.00,8.60,0.00,0.00,0.00,0.20,13.50,0.00,0.00,9.60,0.00,0.00,0.00,0.00,0.00,0.00,32.70,2.80,0.00,0.00,0.00,0.00,5.00,35.30,0.00,1.70,8.20,0.20,0.00,0.00,0.60,12.80,0.00,0.70,23.50,9.70,0.00,0.00,0.00,1.00,7.50,7.50,0.00,0.00,0.00,0.00,44.10,41.30,10.50,6.00,46.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,10.40,1.00,11.60,12.40,12.20,2.60,0.00,0.00,0.00,0.00,0.00,0.80,0.00,26.20,12.50,1.40,10.60,0.00,0.40,8.20,32.40,13.40,9.40,94.20,40.80,4.00,0.00,0.40,21.60,35.60,1.60,23.80,0.20,11.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.70,3.30,2.60,0.20,0.00,74.30,23.70,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.40,4.80,9.60,0.00,0.00,2.00,15.90,0.00,0.00,0.00,0.00,36.60,0.40,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,11.40,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.10,0.00,0.00,0.60,5.40,0.00,13.80,1.20,7.00,13.60,18.60,8.80,0.90,31.90,31.30,0.00,0.00,11.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,24.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,4.00,0.60,0.00,1.20,68.60,2.90,67.70,57.50,72.70,21.80,40.80,13.40,0.00,0.00,4.70,60.70,4.60,12.20,48.30,44.80,38.50,33.90,1.40,48.00,2.90,1.00,13.80,51.10,37.40,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.80,10.70,8.90,7.50,3.30,34.70,35.90,23.70,0.00,0.00,12.40,0.60,4.20,7.20,0.00,4.70,0.00,14.80,30.20,0.00,0.00,0.00,1.20,26.20,18.00,0.50,0.00,12.20,41.60,32.10,1.80,0.00,0.00,0.00,0.00,0.00,0.00,5.50,23.70,0.00,8.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,21.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,19.10,0.20,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.40,0.00,58.40,15.50,20.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.80,0.00,1.30,0.00,18.90,71.20,14.30,5.80,0.00,0.00,0.00,8.90,0.00,0.00,1.10,22.30,0.00,21.00,0.00,78.50,27.80,0.00,0.00,17.90,11.60,23.20,0.10,3.60,0.00,0.80,18.20,22.40,1.70,0.00,0.00,0.00,0.40,0.00,5.50,4.90,6.40,0.00,0.00,0.00,0.00,29.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.60,0.00,0.00,0.20,68.90,36.40,13.00,1.30,26.20,15.30,49.50,60.20,14.20,26.20,3.90,27.90,0.00,0.00,0.00,0.00,10.20,0.00,0.00,3.20,26.10,52.10,0.00,0.80,0.50,0.60,22.10,20.80,10.00,64.20,49.70,44.60,21.50,63.50,4.80,0.00,0.00,0.00,14.30,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,47.60,0.00,0.00,0.00,0.00,40.40,14.90,4.40,14.40,0.40,6.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,6.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.60,0.00,0.00,0.00,0.00,0.00,0.00,0.60,37.30,0.00
0.00,0.00,0.20,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,4.30,23.70,31.50,0.00,20.40,0.40,0.00,33.40,0.00,0.00,15.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.60,28.40,17.00,7.80,0.00,0.00,0.00,0.00,18.90,0.70,9.20,0.00,0.00,0.00,55.60,11.20,21.20,0.00,0.00,0.00,34.50,41.10,0.00,0.00,22.40,15.50,39.40,0.00,0.00,0.60,2.10,29.50,0.60,0.00,0.00,0.00,30.80,75.50,4.00,3.40,41.10,23.70,0.00,0.00,0.00,9.20,0.80,7.00,0.00,23.20,60.40,7.00,6.80,2.20,6.80,0.60,0.00,7.20,0.00,30.20,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,14.80,4.00,31.40,33.10,18.30,0.00,19.20,52.20,17.80,47.80,19.30,22.90,22.60,0.00,0.00,0.00,0.00,0.40,1.00,30.20,33.10,4.70,46.00,3.00,0.00,16.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,18.70,0.00,39.90
