01-06, 02-06, 03-06, 04-06, 05-06, 06-06, 07-06, 08-06, 09-06, 10-06, 11-06, 12-06, 13-06, 14-06, 15-06, 16-06, 17-06, 18-06, 19-06, 20-06, 21-06, 22-06, 23-06, 24-06, 25-06, 26-06, 27-06, 28-06, 29-06, 30-06, 01-07, 02-07, 03-07, 04-07, 05-07, 06-07, 07-07, 08-07, 09-07, 10-07, 11-07, 12-07, 13-07, 14-07, 15-07, 16-07, 17-07, 18-07, 19-07, 20-07, 21-07, 22-07, 23-07, 24-07, 25-07, 26-07, 27-07, 28-07, 29-07, 30-07, 31-07, 01-08, 02-08, 03-08, 04-08, 05-08, 06-08, 07-08, 08-08, 09-08, 10-08, 11-08, 12-08, 13-08, 14-08, 15-08, 16-08, 17-08, 18-08, 19-08, 20-08, 21-08, 22-08, 23-08, 24-08, 25-08, 26-08, 27-08, 28-08, 29-08, 30-08, 31-08, 01-09, 02-09, 03-09, 04-09, 05-09, 06-09, 07-09, 08-09, 09-09, 10-09, 11-09, 12-09, 13-09, 14-09, 15-09, 16-09, 17-09, 18-09, 19-09, 20-09, 21-09, 22-09, 23-09, 24-09, 25-09, 26-09, 27-09, 28-09, 29-09, 30-09, 01-10, 02-10, 03-10, 04-10, 05-10, 06-10, 07-10, 08-10, 09-10, 10-10, 11-10, 12-10, 13-10, 14-10, 15-10, 16-10, 17-10, 18-10, 19-10, 20-10, 21-10, 22-10, 23-10, 24-10, 25-10, 26-10, 27-10, 28-10, 29-10, 30-10, 31-10, 01-11, 02-11, 03-11, 04-11, 05-11, 06-11, 07-11, 08-11, 09-11, 10-11, 11-11, 12-11, 13-11, 14-11, 15-11, 16-11, 17-11, 18-11, 19-11, 20-11, 21-11, 22-11, 23-11, 24-11, 25-11, 26-11, 27-11, 28-11, 29-11, 30-11, 01-12, 02-12, 03-12, 04-12, 05-12, 06-12, 07-12, 08-12, 09-12, 10-12, 11-12, 12-12, 13-12, 14-12, 15-12, 16-12, 17-12, 18-12, 19-12, 20-12, 21-12, 22-12, 23-12, 24-12, 25-12, 26-12, 27-12, 28-12, 29-12, 30-12, 31-12, 01-01, 02-01, 03-01, 04-01, 05-01, 06-01, 07-01, 08-01, 09-01, 10-01, 11-01, 12-01, 13-01, 14-01, 15-01, 16-01, 17-01, 18-01, 19-01, 20-01, 21-01, 22-01, 23-01, 24-01, 25-01, 26-01, 27-01, 28-01, 29-01, 30-01, 31-01, 01-02, 02-02, 03-02, 04-02, 05-02, 06-02, 07-02, 08-02, 09-02, 10-02, 11-02, 12-02, 13-02, 14-02, 15-02, 16-02, 17-02, 18-02, 19-02, 20-02, 21-02, 22-02, 23-02, 24-02, 25-02, 26-02, 27-02, 28-02
0.00,12.80,53.60,0.00,0.00,0.00,0.00,4.10,0.40,0.00,0.00,24.50,0.40,17.00,4.40,0.00,0.00,0.00,5.30,0.80,0.00,0.00,0.00,0.20,0.20,1.00,0.00,28.20,11.20,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,1.40,10.60,0.00,0.00,0.00,0.00,0.00,0.00,0.60,7.40,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.20,3.40,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.20,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.60,10.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,0.00,2.00,1.20,0.40,13.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,1.10,0.00,0.00,0.10,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,10.80,0.00,0.00,0.00,0.10,0.00,0.00,0.00,25.00,13.60,0.10,0.00,0.30,0.00,0.00,0.00,11.60,35.90,21.50,0.00,2.00,1.60,1.00,0.00,23.80,7.60,0.20,0.00,9.30,0.00,20.00,0.00,0.00,0.10,0.00,25.40,26.50,0.10,0.40,3.40,0.00,0.00,22.00,0.60,1.20,0.00,0.40,34.70,29.00,7.50,3.00,67.80,0.00,79.60,25.70,32.00,0.00,0.00,0.00,25.90,0.00,1.80,5.60,3.60,0.00,0.00,6.80,0.00,0.00,20.00,0.00,6.00,4.80,25.40,0.00,0.00,0.00,0.00,2.40,0.10,4.20,25.60,10.20,10.00,0.00,0.00,0.30,0.20,27.40,0.20,24.30,3.50,31.20,30.10,3.80,16.90,0.60,0.00,5.00,20.40,21.80,0.00,1.70
0.00,0.00,19.30,0.00,0.00,0.70,44.00,6.60,3.40,0.00,0.00,0.00,3.00,2.00,2.40,8.00,9.40,5.40,5.80,0.00,0.00,0.00,0.00,16.60,15.40,4.80,8.00,0.00,4.30,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,20.20,1.80,3.80,0.00,6.60,2.40,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.80,0.00,0.00,0.00,18.00,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,1.30,0.00,0.00,0.00,21.20,1.60,2.40,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,0.00,0.00,0.00,0.00,74.20,23.10,0.00,0.00,0.00,0.00,40.20,20.60,2.20,8.20,8.00,22.40,0.00,0.00,0.00,2.60,9.00,0.00,14.10,1.00,4.60,0.00,0.00,0.00,0.00,23.30,0.40,12.10,0.00,8.20,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,13.40,0.00,0.00,0.00,0.60,0.60,0.00,0.00,1.10,11.60,0.60,0.20,4.20,1.60,90.80,1.20,0.00,7.20,3.50,10.20,34.00,8.00,4.20,44.80,30.50,0.00,0.00,6.00,0.00,3.80,0.00,2.50,6.40,16.00,0.00,22.20,2.00,11.30,34.60,3.40,0.00,0.00,0.00,6.00,0.40,4.40,0.10,7.60,0.00,0.20,0.40,3.80,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,11.40,4.80,0.00,0.10,0.00,13.00,0.00,17.80,19.20,2.60,4.80,4.20,0.00,5.60,18.00,1.40,0.00,27.60,0.00,0.00,0.00,0.00,0.00,0.00,32.60,0.00,0.00,138.80,1.20,40.60,25.40,0.00,0.30,0.80
9.40,0.00,0.00,0.00,0.00,0.00,13.80,6.60,0.00,5.00,0.00,0.00,0.00,5.70,56.10,0.00,1.40,6.40,2.80,0.00,0.40,0.00,0.00,1.70,1.40,0.00,0.00,0.00,0.00,0.00,5.70,0.00,15.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.50,0.20,0.00,15.00,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.20,2.60,0.00,0.00,17.20,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.60,1.60,0.60,0.00,0.00,0.00,0.00,0.00,39.80,19.40,0.00,1.50,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,7.00,5.40,19.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,11.50,3.90,0.00,0.00,0.00,0.00,0.00,0.00,69.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,5.20,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.20,0.00,0.00,0.00,38.70,4.10,0.00,9.30,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,59.20,3.70,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,5.50,0.00,3.30,0.00,0.00,31.30,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.40,8.80,2.10,5.40,0.00,3.80,13.30,0.20,0.00,0.00,0.00,0.00,0.00,0.00,15.40,0.00,0.00,0.00,0.00,0.00,23.30,0.00,19.00,0.80,11.50,1.20,0.00,0.00,1.20,0.00,12.40,7.00,0.00,0.00,31.70,0.00,1.60,0.00,0.00,0.00,43.50,5.60,0.00,0.00,0.20,0.10,0.00,20.40,0.10,0.00,1.10,2.30,0.20,2.70,15.80,0.70,15.90,0.00,0.90,0.00,12.40,2.70,1.60,1.70,38.30,0.20,8.50,3.60,0.00,0.20,19.70,0.00,4.90,12.20,0.20,0.00,2.50
7.50,0.00,15.50,0.00,21.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,13.20,0.00,3.20,24.40,0.00,5.20,2.50,17.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20,12.60,0.00,5.20,0.00,0.50,2.50,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,14.00,1.10,0.00,3.00,0.20,0.70,13.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.20,0.00,0.00,0.00,0.00,55.80,2.90,0.00,47.90,0.00,0.00,15.40,3.20,1.00,0.00,5.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,42.10,19.40,0.00,0.00,0.00,0.00,10.30,0.00,0.00,0.00,0.00,33.70,0.00,0.00,0.00,0.00,0.00,0.00,1.30,4.40,3.70,0.00,0.20,0.00,0.00,1.20,10.40,0.20,11.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,0.20,0.20,15.20,0.00,0.00,5.00,0.00,0.00,0.00,7.00,7.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.30,0.00,0.00,0.00,0.00,0.00,0.00,12.60,3.30,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,20.50,0.00,0.00,0.00,10.20,17.60,3.00,1.20,0.80,50.20,0.00,4.40,11.50,0.00,0.00,15.40,0.00,0.00,0.00,0.00,0.00,0.00,3.20,0.00,7.40,0.00,1.40,0.00,1.40,0.80,0.00,12.40,6.30,55.80,13.70,0.00,0.00,23.50,0.00,0.00,0.00,0.00,0.00,14.40,10.00,0.80,21.00,55.20,0.00,2.20,5.50,0.00,0.00,30.00,27.60,4.00,7.00,0.60,13.00,0.00,0.20,2.60,0.00,0.00,37.80,2.10,0.40,2.20,42.00,35.00,36.70,4.60,1.00
0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,15.00,0.00,0.40,15.70,0.00,0.00,0.00,0.00,0.00,6.70,0.00,0.00,0.60,11.00,0.00,0.00,0.00,3.30,17.80,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.60,2.70,0.00,0.00,3.30,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,5.60,0.00,0.00,9.20,0.00,0.00,0.90,0.00,0.00,0.00,0.20,0.50,0.00,0.00,0.00,21.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,0.00,33.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.50,5.40,0.00,10.60,0.00,3.80,3.00,0.00,4.10,0.00,0.00,0.90,49.10,1.00,0.00,12.70,2.20,0.00,1.40,4.40,0.50,0.00,0.00,0.00,16.20,0.00,60.00,0.00,0.00,0.00,0.00,35.00,0.00,4.40,0.00,20.40,0.00,0.00,0.00,3.40,4.40,0.00,0.00,0.00,9.40,0.00,2.20,0.00,61.60,3.00,0.00,6.00,13.90,0.40,0.00,39.80,0.20,4.50,16.20,22.80,14.30,30.00,7.30,13.40,0.00,0.00,24.80,0.00,1.40,0.00,16.20,0.00,9.00,9.00,0.00,3.00,0.40,1.20,0.20,0.00,0.80,6.40,2.40,16.40,5.00,0.00,0.40,8.00,33.40,4.20,1.40,0.00,0.00,6.40,0.00,0.40,3.00,0.00,41.50,19.40,1.40,0.00,58.00,2.00,4.60,7.00,0.00,11.40,7.20,32.00,10.60,7.50,2.60,5.50,18.80,0.00,0.00,19.00,23.40,0.00,1.80,25.60,0.40,0.00,20.00,0.00,0.00,0.00,69.80,19.20
4.20,0.00,0.00,0.00,15.40,1.00,0.00,4.20,0.00,0.00,35.00,0.00,0.00,0.00,1.00,5.60,0.00,1.80,17.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,6.60,6.80,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,8.00,0.00,0.00,0.00,0.00,0.00,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,15.40,0.00,0.00,12.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.20,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,18.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.40,1.80,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,4.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,5.20,36.80,0.00,0.00,0.00,0.00,0.00,0.40,0.00,17.00,28.80,6.00,8.40,53.00,0.20,0.60,63.40,1.80,38.80,0.00,2.00,15.00,0.00,0.00,0.00,0.00,9.80,6.80,0.00,0.00,25.60,34.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.20,40.00,0.00,5.40,97.40,0.00,0.00,34.40,50.40,3.80,0.00,1.20,0.00,0.00,1.00,1.40,0.20,0.00,0.00,1.00,0.00,4.00,12.40,20.60,14.00,51.40,29.00,4.40,5.00,13.00,9.00,17.60,30.80,7.00,13.40,0.60,0.20,11.00,37.60,0.00,65.40,13.40,11.00,0.40,4.60,21.20,7.80,0.00,8.00,0.00,1.20,0.40,0.30,0.00,0.00,0.00,0.20,0.00,0.40,0.00,0.00,0.00,2.20,2.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.00,0.00,0.00,0.00,3.60,27.60,51.60,1.20
0.00,15.70,6.00,11.60,1.40,13.60,18.60,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.60,1.70,1.20,0.00,28.60,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.90,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,13.30,0.00,0.00,7.60,0.00,0.00,0.00,1.80,6.10,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,41.20,4.00,27.40,6.00,4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,4.00,0.00,0.00,0.00,36.00,4.00,0.00,6.70,0.00,0.00,9.40,0.00,9.00,33.00,17.40,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,34.00,1.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.70,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,27.40,0.00,0.00,0.00,0.40,0.00,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.90,1.70,0.00,0.00,1.80,0.00,4.00,0.00,0.00,0.00,0.00,0.00,9.30,0.00,20.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,1.90,0.00,1.80,34.00,0.00,0.00,0.00,1.00,26.40,0.00,1.20,39.40,18.90,9.20,53.00,22.60,16.00,0.50,7.10,0.20,0.00,0.00,46.20,0.00,17.80,1.20,0.00,63.60,15.60,0.00,0.60,0.00,0.00,0.30,0.00,38.50,3.70,0.50,15.40,0.00,1.40,0.00,0.20,76.10,0.20,0.20,18.90,11.20,0.00,63.30,10.50,21.00,22.00,0.30,0.00,74.40,0.30,0.00,0.70,24.10,3.40,14.70,16.70,8.10,1.60,0.00,3.60,3.00,36.60,2.40,3.40,40.80,11.60,4.80,0.00,0.00,0.00,14.80,37.00,1.10,3.40,34.60,2.00,15.40,0.20,0.00,0.00,1.00,0.50,21.70,62.80,0.30,2.20,1.60,0.00,14.60,11.20,6.80,12.60,0.00,0.00,14.00,17.00,0.00,17.00
0.00,5.40,0.00,0.70,0.00,14.40,1.00,0.00,3.00,0.00,0.00,62.00,11.80,0.00,0.00,0.00,7.40,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.80,7.20,0.00,0.00,0.00,0.00,0.00,12.20,0.30,0.00,0.00,0.00,0.00,0.00,27.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,0.00,0.00,0.00,0.00,13.00,5.00,0.00,0.60,0.00,0.00,0.00,0.00,10.20,15.60,1.40,0.00,5.00,0.00,0.00,0.00,0.00,6.00,3.60,0.00,0.00,0.00,0.00,0.00,5.00,0.00,9.40,13.00,0.00,0.00,0.00,5.60,0.00,0.00,0.00,0.00,0.60,1.60,0.00,6.20,1.40,0.00,0.00,3.60,0.00,1.00,2.00,22.60,5.60,0.00,1.20,1.20,47.00,0.00,6.40,0.00,0.40,0.00,0.00,0.60,8.20,2.00,0.00,0.00,0.00,0.00,0.00,0.20,2.20,52.00,0.60,0.00,0.00,5.00,0.20,4.80,0.00,0.00,0.00,0.00,0.00,24.00,0.00,13.60,0.00,0.00,0.00,0.00,23.60,10.20,0.00,0.00,50.60,10.40,0.00,0.00,30.40,22.80,0.00,0.00,19.60,42.80,27.80,0.00,5.00,0.00,0.00,47.00,0.00,31.40,0.00,33.60,21.80,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.70,3.80,0.20,0.20,39.60,0.00,0.00,52.80,36.70,3.80,4.20,14.50,77.40,6.40,3.00,10.00,58.80,0.60,0.00,4.40,2.00,28.40,0.00,6.00,5.80,0.00,0.30,23.10,2.40,5.40,6.40,46.00,4.00,27.00,6.00,22.60,1.60,8.00,6.00,0.00,19.00,6.60,0.00,23.60,8.80,3.00,42.40,1.40,34.60,0.00,0.00,32.00,36.80,1.00,2.60,46.80,21.20,1.20,2.00,26.20,3.80,51.00,20.20,0.00,0.00,0.00,1.70,5.00,21.40,51.00,0.00,8.00,57.20,34.20,0.00,0.00
28.60,2.20,0.00,3.80,0.00,11.60,18.50,0.00,13.30,26.50,1.00,0.20,19.70,0.20,27.60,0.60,1.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,8.20,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,8.20,0.00,0.00,0.00,0.00,0.00,0.00,8.20,0.00,0.00,4.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,4.20,0.00,0.00,0.00,2.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,22.20,39.60,7.80,1.20,0.00,1.00,14.40,48.20,37.40,5.40,11.40,1.40,49.00,0.00,2.20,8.00,0.00,0.00,3.40,2.40,5.00,0.00,0.00,2.20,21.20,13.80,3.20,0.00,0.00,0.00,1.00,0.00,6.40,9.80,11.60,0.00,0.00,0.00,21.00,20.20,0.00,0.00,4.60,53.00,42.40,25.00,0.00,3.40,0.00,44.00,0.00,0.00,13.00,0.00,20.60,2.40,5.00,0.00,1.00,35.40,1.40,0.60,124.80,1.30,1.20,37.60,0.00,5.80,0.00,21.20,4.00,11.00,7.00,0.00,32.80,4.00,3.80,2.00,14.20,15.40,0.00
0.00,1.20,0.00,35.10,0.00,14.00,0.00,2.50,16.80,0.00,0.00,0.00,1.50,0.00,0.00,0.00,8.00,1.00,3.80,19.00,0.00,0.00,10.80,0.00,0.00,5.40,0.00,0.00,0.00,0.00,0.00,0.00,4.40,35.40,4.30,18.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.60,13.90,0.00,0.30,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,5.60,0.00,12.50,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,20.00,17.50,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,1.50,19.30,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,17.90,0.00,0.00,0.00,0.00,0.00,12.60,0.40,11.00,0.00,0.00,0.00,0.60,0.00,0.00,0.60,2.00,13.20,50.00,0.60,1.00,6.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.80,0.40,0.00,35.20,13.00,0.80,0.00,20.20,11.10,3.60,6.20,1.60,0.00,0.00,28.70,0.00,0.00,2.40,0.00,0.00,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.50,0.00,0.00,0.00,0.00,0.00,17.60,4.40,0.00,0.00,2.00,0.00,15.40,3.60,0.00,34.50,0.20,6.50,0.80,132.50,0.00,2.20,15.60,0.20,0.20,0.00,21.00,2.50,0.00,6.40,12.90,1.80,10.40,0.00,0.00,17.20,0.00,0.00,30.00,0.00,16.60,0.00,0.00,51.10,3.00,0.00,12.30,11.10,0.50,27.80,3.00,0.00,0.00,0.00,0.00,0.00,5.50,4.30,4.80,5.50,9.00,31.70,23.60,0.20,18.00,19.00,13.00,13.10,11.70,25.50,38.20,24.10,0.00,0.00,22.30,0.40,57.40,46.80,16.00,0.40,47.00,0.00,0.00,17.60,8.00,26.00,26.20,0.70,6.40
